2021

Place	Event	CTF points	Rating points
	2	DiceCTF 2021	4471.0000	35.748
	5	justCTF [*] 2020	2650.0000	21.118
	51	*CTF 2021	1473.0000	3.663
	6	TetCTF 2021	2490.0000	10.748

2020

Place	Event	CTF points	Rating points
	1	HackTM CTF Finals 2020	6248.0000	50.000
	1	pbctf 2020	5610.0000	49.800
	9	Hack.lu CTF 2020	3844.0000	74.221
	10	N1CTF 2020	3637.0000	15.501
	12	ISITDTU CTF 2020 Quals	5580.0000	16.733
	39	TastelessCTF 2020	401.0000	2.469
	11	CSAW CTF Qualification Round 2020	3555.0000	52.979
	3	PoseidonCTF 1st Edition	7598.0000	28.054
	1	3kCTF-2020	10587.0000	48.280
	5	UIUCTF 2020	4480.0000	15.926
	28	Chujowy CTF 2020	608.0000	4.042
	20	rgbCTF 2020	11602.0000	13.070
	18	NahamCon CTF	4815.0000	17.203
	4	2020 Defenit CTF	12098.0000	22.096
	41	RCTF 2020	1303.0000	6.320
	6	Pwn2Win CTF 2020	2842.0000	47.746
	19	TJCTF 2020	2255.0000	18.830
	217	De1CTF 2020	190.0000	0.512
	3	IJCTF 2020	12672.0000	29.110
	1	Hexion CTF 2020 Online 	16174.0000	49.660
	24	Byte Bandits CTF 2020	3583.0000	19.293
	113	X-MAS GTF 2020	954.0000	0.000
	3	FireShell CTF 2020	7637.0000	27.605
	65	TAMUctf 2020	4483.0000	0.000
	19	CONFidence CTF 2020 Teaser	786.0000	12.268
	6	b01lers CTF	4103.0000	17.914
	25	ångstromCTF 2020	4045.0000	25.215
	17	SarCTF by Saratov State University	19246.0000	18.016
	21	VeniVidiVici	920.0000	0.000
	158	nullcon HackIM 2020	301.0000	1.746
	8	HackTM CTF Quals 2020	6782.0000	18.981

2019

Place	Event	CTF points	Rating points
	5	BambooFox CTF	3751.0000	0.000
	3	watevrCTF 2019	4869.0000	29.155
	615	X-MAS CTF 2019	125.0000	0.187
	210	OverTheWire Advent Bonanza 2019	242.0000	0.658
	37	CTFZone 2019 Quals	879.0000	5.560
	68	RITSEC CTF 2019	2669.0000	4.634
	1	Newbie CTF(N-CTF) 2019	15847.0000	0.000
	27	Hack.lu CTF 2019	1709.0000	16.204
	7	Square CTF 2019	6450.0000	24.015
	23	Rooters CTF	3902.0000	10.908
	102	Balsn CTF 2019	106.0000	0.577
	58	picoCTF 2019	30751.0000	0.000
	85	Teaser Dragon CTF 2019	315.0000	3.474
	22	InCTF 2019	2302.0000	12.090
	6	SEC-T CTF 2019	4485.0000	20.148
	24	Newark Academy CTF 2019	6785.0000	19.552
	11	Affinity CTF 2019 - Quals	4061.0000	13.961
	40	Chaos Communication Camp 2019	421.0000	3.161
	168	HackCon 2019	401.0000	1.264
	29	redpwnCTF 2019	4433.0000	8.560
	92	Crypto CTF 2019	264.0000	1.682
	160	De1CTF 2019	313.0000	0.829
	69	CyBRICS CTF Quals 2019	386.0000	2.978
	58	peaCTF 2019	5100.0000	0.000
	9	InnoCTF International 2019	5605.0000	0.000
	10	ISITDTU CTF 2019 Quals	7655.0000	14.166
	18	Facebook CTF 2019	9372.0000	11.457
	59	RCTF 2019	719.0000	2.859
	36	*CTF 2019	2570.0000	5.993
	8	ångstromCTF 2019	3730.0000	18.611
	10	Sunshine CTF 2019	3255.0000	24.171
	2	Securinets CTF Quals 2019	23395.0000	33.149

2018

Place	Event	CTF points	Rating points
	336	VolgaCTF 2018 Quals	10.0000	0.150
